Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0f0 | instruction:fcb42c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f8 | instruction:fd842783 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:0fc | instruction:00f71863 | regWrite:0 | memWrite:0 | branch_op:1 | PC_select:01 | RD:16
Decode_pipe PC:10c | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:110 | instruction:fd842783 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:114 | instruction:00e7dc63 | regWrite:0 | memWrite:0 | branch_op:1 | PC_select:01 | RD:24
Decode_pipe PC:12c | instruction:fd842703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:130 | instruction:fdc42783 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:134 | instruction:40f707b3 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:138 | instruction:fcf42c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:13c | instruction:fd842583 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:11
Decode_pipe PC:140 | instruction:fdc42503 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:140 | instruction:fdc42503 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:140 | instruction:fdc42503 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:144 | instruction:00000097 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 1
Decode_pipe PC:148 | instruction:f98080e7 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:11 | RD: 1
Decode_pipe PC:0dc | instruction:fd010113 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 2
Decode_pipe PC:0e0 | instruction:02112623 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:12
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e8 | instruction:03010413 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0f0 | instruction:fcb42c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f8 | instruction:fd842783 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:0fc | instruction:00f71863 | regWrite:0 | memWrite:0 | branch_op:1 | PC_select:01 | RD:16
Decode_pipe PC:10c | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:110 | instruction:fd842783 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:114 | instruction:00e7dc63 | regWrite:0 | memWrite:0 | branch_op:1 | PC_select:01 | RD:24
Decode_pipe PC:12c | instruction:fd842703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:130 | instruction:fdc42783 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:134 | instruction:40f707b3 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:138 | instruction:fcf42c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:13c | instruction:fd842583 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:11
Decode_pipe PC:140 | instruction:fdc42503 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:140 | instruction:fdc42503 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:140 | instruction:fdc42503 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:144 | instruction:00000097 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 1
Decode_pipe PC:148 | instruction:f98080e7 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:11 | RD: 1
Decode_pipe PC:0dc | instruction:fd010113 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 2
Decode_pipe PC:0e0 | instruction:02112623 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:12
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e8 | instruction:03010413 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:0f0 | instruction:fcb42c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f4 | instruction:fdc42703 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:0f8 | instruction:fd842783 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:0fc | instruction:00f71863 | regWrite:0 | memWrite:0 | branch_op:1 | PC_select:01 | RD:16
Decode_pipe PC:100 | instruction:fdc42783 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:104 | instruction:fef42623 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:12
